config_str,phase,epoch,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,0,loss,1.31531874346,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,1,loss,1.30566937271,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,2,loss,1.28447287657,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,3,loss,1.28027556425,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,4,loss,1.27901662787,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,5,loss,1.27824298804,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,6,loss,1.27757553349,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,7,loss,1.27580262953,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,8,loss,1.27489468463,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,9,loss,1.2747089379,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,10,loss,1.27497258335,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
num_hidden_10target_update_10_option_linear_drop_prob_0.0_state_dim_46_use_scheduler_False_batch_size_512_lr_0.0001_hidden_dim_1024_num_epochs_300_gamma_0.9_action_dim_25_time_55,train,11,loss,1.27906827556,25,512,0.0,0.9,1024,0.0001,300,10,linear,46,10,False
